"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Materials/M_Chart.M_Chart","0","0","14","1","0.000000","0","0"
"/Game/Materials/DefaultTextMaterialAlpha.DefaultTextMaterialAlpha","0","0","20","1","0.000000","0","0"
"/DataCharts/Materials/M_ChartLine.M_ChartLine","0","26","2","1","26.396202","0","74"
"/DataCharts/Materials/M_ChartLine.M_ChartLine","49","26","2","1","19.723194","0","70"
"/Game/Materials/M_Chart.M_Chart","49","0","14","1","0.000000","0","0"
"/Game/Materials/DefaultTextMaterialAlpha.DefaultTextMaterialAlpha","49","0","20","1","0.000000","0","0"
