"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","6","6","1","7.653328","0","6"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","68","2","1","511.729767","0","311"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","87","11","1","127.029877","0","471"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","127","11","1","213.518082","0","959"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","617","11","1","898.634888","0","17634"
"/Game/Materials/DefaultTextMaterialAlpha.DefaultTextMaterialAlpha","0","20","20","1","35.134434","0","29"
"/Game/Scena/Screens/LEDLEFT.LEDLEFT","0","14","14","1","22.253906","0","17"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","29","1","40.640850","0","47"
"/Game/Scena/Screens/LEDRIGHT.LEDRIGHT","0","14","14","1","23.448776","0","17"
"/Game/Scena/Lineup/Pitch.Pitch","0","36","3","1","67.065605","0","86"
"/Game/Scena/Lineup/Player_texture.Player_texture","0","7","7","1","8.188352","0","7"
"/Game/Scena/Material_006.Material_006","0","14","14","1","23.872009","0","17"
"/Game/Scena/Wooden_floor_002.Wooden_floor_002","0","14","14","1","22.727169","0","17"
"/Game/Scena/Roof_rings_wood.Roof_rings_wood","0","14","14","1","23.873510","0","17"
"/Game/Scena/Floor_Baked.Floor_Baked","0","14","14","1","23.187515","0","17"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","4","4","1","4.151264","0","4"
"/Game/Scena/MAIN_WALLS.MAIN_WALLS","0","14","14","1","23.124445","0","17"
"/Game/Scena/column_back_001_Baked.column_back_001_Baked","0","14","14","1","23.025444","0","17"
"/Game/Scena/Center_stand_Baked.Center_stand_Baked","0","14","14","1","22.058048","0","17"
"/Game/Scena/Back_pillar1_Baked.Back_pillar1_Baked","0","14","14","1","22.214823","0","20"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","4","4","1","3.594411","0","5"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","35","2","1","37.378433","0","107"
"/Game/Scena/Screens/LED3_4.LED3_4","0","14","14","1","22.575214","0","17"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Color_Merge.Color_Merge","0","4","4","1","4.007608","0","4"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","1","1","115.584824","0","175"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","12","1","182.649094","0","419"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Shaders/Shadow.Shadow","0","28","6","1","41.529282","0","75"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Shaders/Depth.Depth","0","28","6","1","38.113777","0","75"
"/Game/Materials/HDRI_Projection.HDRI_Projection","0","69","47","3","104.766159","0","108"
"/Game/Scena/Lineup/NameHolder.NameHolder","0","3","3","1","4.576954","0","3"
"/Game/Aximmetry_VirtualCam_3-Bill/Materials/Shaders/Billboard.Billboard","0","35","2","1","73.449745","0","97"
"Globals","49","5079","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","4","4","1","9.782613","0","6"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","6","6","1","12.719419","0","9"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","3","3","1","8.520535","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","3","3","1","5.685164","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","17","2","1","36.658779","0","57"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","4","4","1","6.231102","0","4"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","28","7","1","44.901127","0","111"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","6","6","1","6.487474","0","9"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","5","5","1","7.462455","0","8"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","7","7","1","7.562840","0","8"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","10","10","1","11.658205","0","14"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","3","3","1","4.262304","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","26","2","1","32.999413","0","94"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","14","3","1","17.835266","0","36"
"/Engine/VREditor/TransformGizmo/Main.Main","49","3","3","1","3.695845","0","5"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","3","3","1","3.375525","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","43","1","1","39.336010","0","196"
"/Game/Scena/Teams_logos/Real_madrid/Red.Red","49","14","14","1","17.064991","0","21"
"/Game/Scena/Teams_logos/Real_madrid/White.White","49","14","14","1","17.348793","0","21"
"/Game/Scena/Teams_logos/Real_madrid/Gold.Gold","49","14","14","1","17.128838","0","21"
"/Game/Scena/Teams_logos/Real_madrid/Blue.Blue","49","14","14","1","15.365634","0","21"
"/Game/Scena/Teams_logos/Barcelona/Yellow.Yellow","49","14","14","1","16.230026","0","14"
"/Game/Scena/Teams_logos/Barcelona/Red.Red","49","14","14","1","17.255459","0","20"
"/Game/Scena/Teams_logos/Barcelona/Material_002.Material_002","49","14","14","1","17.328979","0","20"
"/Game/Scena/Teams_logos/Barcelona/Maroon.Maroon","49","14","14","1","17.751842","0","20"
"/Game/Scena/Teams_logos/Barcelona/Gold.Gold","49","14","2","1","16.486486","0","44"
"/Game/Scena/Teams_logos/Barcelona/Black.Black","49","14","2","1","15.691054","0","44"
"/Game/Scena/Screens/frame.frame","49","14","14","1","16.775063","0","20"
"/Game/Scena/Window.Window","49","24","8","1","32.727356","0","64"
